year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950207N21115,UNNAMED,,WP,single,CHN,24.3,47.3,5721529.521959082,0.0,0.0,7406486739.644962,0.0,0.0,924237.0489266005,0.0,0.0,1184213516.9520864,0.0,0.0,2149157.137926242,0.0,0.0,2733722835.8851037,0.0,0.0,3328702.075425792,0.0,0.0,4169946174.7092037,0.0,0.0
1950,1950213N24139,UNNAMED,,WP,single,JPN,25.1,48.8,3611645.351166872,0.0,0.0,32065031455.868294,0.0,0.0,408302.40606679296,0.0,0.0,3361688856.5429,0.0,0.0,1469473.1429823644,0.0,0.0,11067806387.620909,0.0,0.0,1780870.2409075743,0.0,0.0,14704767067.012398,0.0,0.0
1950,1950213N25128,UNNAMED,,WP,multi,JPN,23.4,45.5,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0,52641.40649305412,0.0,0.0,391761143.4696485,0.0,0.0,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0
1950,1950213N25128,UNNAMED,,WP,multi,TWN,20.0,38.8,532884.4856702123,0.0,0.0,6004210647.966857,0.0,0.0,92992.32589718,0.0,0.0,921896669.1804,0.0,0.0,255828.4153901102,0.0,0.0,2686161080.2444673,0.0,0.0,451883.41083342506,0.0,0.0,4594495277.095607,0.0,0.0
1950,1950214N21139,UNNAMED,,WP,single,JPN,22.5,43.7,723514.154366978,0.0,0.0,9241577411.482368,0.0,0.0,719291.026732929,0.0,0.0,9111852153.73872,0.0,0.0,723514.154366978,0.0,0.0,9241577411.482368,0.0,0.0,723514.154366978,0.0,0.0,9241577411.482368,0.0,0.0
1950,1950216N26142,UNNAMED,,WP,single,JPN,22.2,43.2,3073915.3725154432,0.0,0.0,27985355594.49915,0.0,0.0,885263.652343862,0.0,0.0,7699360906.619141,0.0,0.0,2358753.556702022,0.0,0.0,18751211486.50524,0.0,0.0,2762466.374956849,0.0,0.0,23708182633.78675,0.0,0.0
1950,1950221N29145,UNNAMED,,WP,single,JPN,24.3,47.3,13697097.809742175,0.0,0.0,109667258770.23463,0.0,0.0,1499836.456908679,0.0,0.0,17752888029.437717,0.0,0.0,5901102.91968677,0.0,0.0,49869841608.22213,0.0,0.0,9513463.30225466,0.0,0.0,75535560571.98813,0.0,0.0
1950,1950222N25140,UNNAMED,,WP,multi,JPN,32.1,62.4,8270227.4578322675,0.0,0.0,70092044939.54651,0.0,0.0,2637734.0637205862,0.0,0.0,21170508594.78789,0.0,0.0,6238838.630316967,0.0,0.0,48990724431.07611,0.0,0.0,7957419.277412187,0.0,0.0,65670321529.51431,0.0,0.0
1950,1950222N25140,UNNAMED,,WP,multi,KOR,31.7,61.7,8624557.20313272,0.0,0.0,29145254278.359875,0.0,0.0,1676148.179015782,0.0,0.0,4122945767.542701,0.0,0.0,3433257.1373211658,0.0,0.0,8676551527.625134,0.0,0.0,4439784.839469526,0.0,0.0,13092203875.817736,0.0,0.0
1950,1950224N17305,ABLE,,,multi,CAN,41.4,80.5,595217.8823678544,51672.605529298155,0.0,17532845731.68571,2047221437.815584,0.0,242578.27455050245,19034.76946795449,0.0,6059473741.934936,656879981.9802169,0.0,487556.41452595784,42676.680754650224,0.0,12564243982.54315,1565682321.490505,0.0,571164.4578181496,50610.10375927816,0.0,16273664551.912815,1983732859.678084,0.0
1950,1950226N26124,UNNAMED,,WP,single,JPN,29.3,57.0,13968785.858642135,0.0,0.0,118253813748.63824,0.0,0.0,2647071.699806168,0.0,0.0,23352506839.5649,0.0,0.0,9578137.561029524,0.0,0.0,72097008782.29144,0.0,0.0,12331605.440605108,0.0,0.0,97515107241.4654,0.0,0.0
1950,1950231N12306,BAKER,,,multi,AIA,22.8,44.3,6111.453598029,0.0,0.0,0.0,0.0,0.0,5473.244491584001,0.0,0.0,0.0,0.0,0.0,5646.618850715,0.0,0.0,0.0,0.0,0.0,5646.618850715,0.0,0.0,0.0,0.0,0.0
1950,1950231N12306,BAKER,,,multi,ANT,25.1,48.7,15379.92041016,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,ATG,49.0,95.2,46299.6306924788,46299.6306924788,0.0,97037805.557349,97037805.557349,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,BHS,34.9,67.8,2297.42496247807,0.0,0.0,49357402.20241003,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,CUB,32.2,62.5,4744971.510867717,0.0,0.0,20065198306.26673,0.0,0.0,613702.2383739753,0.0,0.0,2679356053.949177,0.0,0.0,2365654.392492632,0.0,0.0,9327993434.625092,0.0,0.0,3708405.500613876,0.0,0.0,15612100494.971481,0.0,0.0
1950,1950231N12306,BAKER,,,multi,DMA,23.8,46.3,50761.513462059906,0.0,0.0,169042494.470498,0.0,0.0,43215.7177619849,0.0,0.0,140933678.332178,0.0,0.0,50540.244373314905,0.0,0.0,167949083.170378,0.0,0.0,50540.244373314905,0.0,0.0,167949083.170378,0.0,0.0
1950,1950231N12306,BAKER,,,multi,DOM,20.7,40.2,30161.434265974083,0.0,0.0,92118378.03289284,0.0,0.0,5539.5501365663,0.0,0.0,26537217.24059781,0.0,0.0,30085.20859611328,0.0,0.0,91573480.30115484,0.0,0.0,30085.20859611328,0.0,0.0,91573480.30115484,0.0,0.0
1950,1950231N12306,BAKER,,,multi,GLP,41.5,80.6,204656.01716829184,141248.43844041438,0.0,2434267.68773,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,KNA,38.6,75.1,28395.980198818703,20278.0529527287,0.0,46585012.39467458,32527443.51653458,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,MEX,21.8,42.5,737.317195809479,0.0,0.0,10225855.475240147,0.0,0.0,484.468705176531,0.0,0.0,5786088.265773648,0.0,0.0,729.0573640233189,0.0,0.0,9786994.501913147,0.0,0.0,737.317195809479,0.0,0.0,10225855.475240147,0.0,0.0
1950,1950231N12306,BAKER,,,multi,MSR,44.5,86.5,13521.2478132379,13521.2478132379,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0
1950,1950231N12306,BAKER,,,multi,PRI,29.4,57.2,2217994.074796429,0.0,0.0,16490008982.624613,0.0,0.0,542278.9619685301,0.0,0.0,3908675292.165975,0.0,0.0,1663306.2920811991,0.0,0.0,12058870878.212212,0.0,0.0,2217994.074796429,0.0,0.0,16490008982.624613,0.0,0.0
1950,1950231N12306,BAKER,,,multi,TCA,25.5,49.5,586.239889383055,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950231N12306,BAKER,,,multi,USA,46.8,90.9,2960799.8672791626,584572.2105361832,0.0,187051894082.0116,37384785008.81995,0.0,257579.6168095657,118677.86898083828,0.0,16729489952.85796,7706382070.698426,0.0,516785.40789795853,283113.7978698131,0.0,32577155299.119064,16773432275.305754,0.0,634945.8647842219,305211.6448241641,0.0,41674645850.83826,19030551913.652454,0.0
1950,1950231N12306,BAKER,,,multi,VIR,31.8,61.9,13186.417484290901,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950243N15304,DOG,,,multi,AIA,61.2,119.0,6111.453598029,6111.453598029,6111.453598029,0.0,0.0,0.0,5473.244491584001,5473.244491584001,5473.244491584001,0.0,0.0,0.0,5646.618850715,5646.618850715,5646.618850715,0.0,0.0,0.0,5646.618850715,5646.618850715,5646.618850715,0.0,0.0,0.0
1950,1950243N15304,DOG,,,multi,ANT,55.8,108.5,15379.92041016,15379.92041016,15379.92041016,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950243N15304,DOG,,,multi,ATG,65.2,126.8,46299.6306924788,46299.6306924788,46299.6306924788,97037805.557349,97037805.557349,97037805.557349,,,,,,,,,,,,,,,,,,
1950,1950243N15304,DOG,,,multi,DMA,26.2,50.9,50761.513462059906,0.0,0.0,169042494.470498,0.0,0.0,43215.7177619849,0.0,0.0,140933678.332178,0.0,0.0,50540.244373314905,0.0,0.0,167949083.170378,0.0,0.0,50540.244373314905,0.0,0.0,167949083.170378,0.0,0.0
1950,1950243N15304,DOG,,,multi,GBR,39.8,77.3,2938195.167732144,126862.53195136071,0.0,116230212004.57373,5776875702.269536,0.0,819984.1555060081,74594.17545461119,0.0,32845108792.742,3112853552.03946,0.0,1963881.4585143272,118167.14398305812,0.0,71108157181.00987,4679241920.580517,0.0,2782617.22608603,123129.4014562907,0.0,104319879828.6183,5351203562.9243355,0.0
1950,1950243N15304,DOG,,,multi,GLP,59.8,116.3,204656.01716829184,160199.79718228948,12932.111566541389,2434267.68773,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950243N15304,DOG,,,multi,IRL,36.8,71.6,885482.4144690902,2850.795349117,0.0,5535781776.462277,19415214.31436,0.0,311439.4564518854,2850.795349117,0.0,2181179501.798459,19415214.31436,0.0,521213.53544074117,2850.795349117,0.0,3515131707.607357,19415214.31436,0.0,722331.9647620101,2850.795349117,0.0,4651503153.890779,19415214.31436,0.0
1950,1950243N15304,DOG,,,multi,KNA,52.9,102.9,28395.980198818703,28395.980198818703,2275.32373047,46585012.39467458,46585012.39467458,4870677.46253,,,,,,,,,,,,,,,,,,
1950,1950243N15304,DOG,,,multi,MSR,48.5,94.3,13521.2478132379,13521.2478132379,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0,10672.0888672,10672.0888672,0.0,0.0,0.0,0.0
1950,1950243N15304,DOG,,,multi,PRI,21.6,42.0,3890.43584561009,0.0,0.0,33987164.260275,0.0,0.0,3890.43584561009,0.0,0.0,33987164.260275,0.0,0.0,3890.43584561009,0.0,0.0,33987164.260275,0.0,0.0,3890.43584561009,0.0,0.0,33987164.260275,0.0,0.0
1950,1950243N15304,DOG,,,multi,VIR,28.1,54.6,13186.417484290901,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950247N15145,KEZIA,,WP,multi,JPN,46.4,90.1,18013591.228062917,3771669.245281951,0.0,161890032701.81955,37813744376.583694,0.0,6753117.31624975,1458942.123860713,0.0,55194489249.45616,11483218294.54456,0.0,13964062.763988445,2827027.265045036,0.0,116127161031.4917,25100491733.171833,0.0,17062694.637194455,3424813.3618806163,0.0,148100744732.94702,32706984762.05793,0.0
1950,1950247N15145,KEZIA,,WP,multi,RUS,35.1,68.2,2361.060479610584,0.0,0.0,7637711.914100123,0.0,0.0,1956.1083360461637,0.0,0.0,5815067.721559154,0.0,0.0,2361.060479610584,0.0,0.0,7637711.914100123,0.0,0.0,2361.060479610584,0.0,0.0,7637711.914100123,0.0,0.0
1950,1950249N15115,UNNAMED,,WP,single,VNM,21.6,41.9,153670.58942503016,0.0,0.0,109479451.6499725,0.0,0.0,145422.6451832685,0.0,0.0,99469181.4513401,0.0,0.0,153670.58942503016,0.0,0.0,109479451.6499725,0.0,0.0,153670.58942503016,0.0,0.0,109479451.6499725,0.0,0.0
