year,IBTrACS_ID,ISO3,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950221N29145,JPN,13697097.809742175,0,0,109667258770.23465,0,0,1499836.456908679,0,0,17752888029.43772,0,0,5901102.91968677,0,0,49869841608.22213,0,0,9513463.30225466,0,0,75535560571.98813,0,0
1950,1950222N25140,JPN,8270227.457832268,0,0,70092044939.54651,0,0,2637734.0637205862,0,0,21170508594.78789,0,0,6238838.630316968,0,0,48990724431.07611,0,0,7957419.277412188,0,0,65670321529.51431,0,0
1950,1950222N25140,KOR,8624557.20313272,0,0,29145254278.359875,0,0,1676148.179015782,0,0,4122945767.542701,0,0,3433257.1373211658,0,0,8676551527.625135,0,0,4439784.839469526,0,0,13092203875.817736,0,0
1950,1950224N17305,CAN,595217.8823678544,51672.60552929815,0,17532845731.68571,2047221437.8155842,0,242578.27455050245,19034.76946795449,0,6059473741.934936,656879981.9802169,0,487556.41452595784,42676.680754650224,0,12564243982.54315,1565682321.490505,0,571164.4578181495,50610.10375927815,0,16273664551.912817,1983732859.6780841,0
1950,1950226N26124,JPN,13968785.858642137,0,0,118253813748.63824,0,0,2647071.6998061677,0,0,23352506839.5649,0,0,9578137.561029525,0,0,72097008782.29144,0,0,12331605.440605108,0,0,97515107241.46541,0,0
1950,1950231N12306,AIA,6111.453598029,0,0,0,0,0,5473.244491584,0,0,0,0,0,5646.618850715,0,0,0,0,0,5646.618850715,0,0,0,0,0
1950,1950231N12306,ANT,15379.92041016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,ATG,46299.6306924788,46299.6306924788,0,97037805.557349,97037805.557349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,BHS,2297.42496247807,0,0,49357402.20241003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,CUB,4744971.510867717,0,0,20065198306.26673,0,0,613702.2383739753,0,0,2679356053.949177,0,0,2365654.392492632,0,0,9327993434.625092,0,0,3708405.500613876,0,0,15612100494.971481,0,0
1950,1950231N12306,DMA,50761.5134620599,0,0,169042494.470498,0,0,43215.7177619849,0,0,140933678.332178,0,0,50540.2443733149,0,0,167949083.170378,0,0,50540.2443733149,0,0,167949083.170378,0,0
