# These data are freely available under the Creative Commons Attribution International (CC BY 4.0) Licence.
# When using the data please cite:
# Geiger, T.; Frieler, K.; Bresch, D.N. (2017) A global data set of tropical cyclone exposure (TCE-DAT). GFZ Data Services, http://doi.org/10.5880/pik.2017.005
# 
# Generated using the climada module ISIMIP v1.0, available under: https://github.com/davidnbresch/climada_module_isimip/releases/tag/v1.0
# 
year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1950,1950243N15304,DOG,,NA,multi,VIR,28.1,54.6,13186.0,0.0,0.0,0.0,0.0,0.0
1950,1950247N15145,KEZIA,,WP,multi,JPN,46.4,90.1,18013591.0,1.61890032702e+11,3771669.0,37813744377.0,0.0,0.0
1950,1950247N15145,KEZIA,,WP,multi,RUS,35.1,68.2,2361.0,7637712.0,0.0,0.0,0.0,0.0
1950,1950249N15115,UNNAMED,,WP,single,VNM,21.6,41.9,153671.0,109479452.0,0.0,0.0,0.0,0.0
1950,1950261N27138,MISSATHA,,WP,single,JPN,31.0,60.3,7739.0,86893184.0,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,CHN,36.4,70.8,7597984.0,12211042960.0,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,HKG,32.7,63.6,2177953.0,16106554065.0,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,PHL,46.9,91.2,2802087.0,6878101220.0,1861608.0,3396909359.0,0.0,0.0
1950,1950270N19114,UNNAMED,,WP,single,CHN,20.4,39.7,1574027.0,1661591623.0,0.0,0.0,0.0,0.0
1950,1950270N25309,GEORGE,,NA,multi,CAN,28.7,55.7,107926.0,2189174079.0,0.0,0.0,0.0,0.0
1950,1950270N25309,GEORGE,,NA,multi,FRO,22.9,44.5,23262.0,0.0,0.0,0.0,0.0,0.0
1950,1950274N26272,HOW,,NA,single,MEX,21.3,41.4,13668.0,117936666.0,0.0,0.0,0.0,0.0
1950,1950281N23270,ITEM,,NA,single,MEX,50.2,97.6,2544613.0,10519780649.0,513755.0,2325839039.0,164.0,1753941.0
1950,1950286N16276,KING,,NA,multi,BHS,45.0,87.5,15199.0,149967877.0,0.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,CUB,50.5,98.1,2333595.0,10614751789.0,596370.0,2981360977.0,7160.0,46146236.0
1950,1950286N16276,KING,,NA,multi,HND,19.0,36.8,99.0,880610.0,0.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,JAM,34.7,67.5,823823.0,1902187964.0,0.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,USA,65.7,127.7,3315497.0,2.59356351367e+11,1797319.0,1.38203288658e+11,603608.0,40882102082.0
1950,1950291N26271,LOVE,,NA,single,USA,39.9,77.5,1125082.0,93217441050.0,16170.0,1723790392.0,0.0,0.0
1950,1950301N09138,RUBY,,WP,single,JPN,19.8,38.6,6265.0,72809427.0,0.0,0.0,0.0,0.0
1950,1950305N12145,CLARA,,WP,single,JPN,59.0,114.7,900937.0,4995719803.0,873078.0,4721157763.0,169642.0,1142005713.0
1950,1950322N07138,DELILAH,,WP,single,PHL,47.8,92.9,4228640.0,12556498681.0,2056361.0,5466822349.0,0.0,0.0
1950,1950360N10141,FRAN,,WP,single,PHL,54.8,106.4,9699589.0,26214414653.0,7013682.0,16795599257.0,105544.0,382073432.0
1951,1951119N06145,IRIS,,WP,multi,JPN,39.8,77.3,394160.0,2156352753.0,2.0,7295.0,0.0,0.0
1951,1951119N06145,IRIS,,WP,multi,PHL,69.6,135.3,11717514.0,33319943328.0,5630678.0,14514649731.0,277163.0,821936004.0
1951,1951119N06145,IRIS,,WP,multi,TWN,49.5,96.3,1599065.0,14194244040.0,28681.0,419551709.0,0.0,0.0
1951,1951132N18111,UNNAMED,,WP,multi,CHN,25.4,49.4,5331408.0,9000013822.0,0.0,0.0,0.0,0.0
1951,1951132N18111,UNNAMED,,WP,multi,HKG,24.7,47.9,2290357.0,18039061321.0,0.0,0.0,0.0,0.0
1951,1951136N32292,ABLE,,NA,multi,BHS,41.6,80.9,16120.0,148472802.0,13836.0,117147800.0,0.0,0.0
1951,1951136N32292,ABLE,,NA,multi,USA,28.2,54.8,581171.0,40400769181.0,0.0,0.0,0.0,0.0
1951,1951138N11256,UNNAMED,,EP,single,MEX,28.7,55.8,775764.0,3848119619.0,0.0,0.0,0.0,0.0
1951,1951152N14264,UNNAMED,,EP,single,MEX,52.9,102.8,2257596.0,11197144063.0,531896.0,2251083126.0,34715.0,193683003.0
